Court rules against tech company in landmark data privacy and consumer protection case.,REAL,,
All television broadcasts will be replaced by a single, continuous loop of a cat video.,FAKE,
The Venice Film Festival announces its official lineup for the upcoming season.,REAL,,
The secret to eternal youth has been found in a forgotten cave painting in Peru.,FAKE,,
Successful test flight of a hypersonic passenger jet reaches Mach 5 speed.,REAL,,
Drinking hot water with lemon is scientifically proven to erase all personal debt.,FAKE,,
Stock market experiences a flash crash following an automated trading algorithm error.,REAL,,
World leaders agree to rename the moon 'Moonie' in a historic, unanimous vote.,FAKE,
Leading pharmaceutical firm reports positive phase 3 trial data for a new cancer drug.,REAL,,
New evidence suggests Bigfoot is a retired librarian living in suburban Ohio.,FAKE,,
Volcanic eruption in the Pacific causes minor regional travel disruptions and ash clouds.,REAL,,
A powerful energy source has been discovered by simply rubbing two socks together.,FAKE,,
The United Nations launches a new initiative to combat global plastic pollution.,REAL,,
Local man claims his pet goldfish can predict the lottery numbers with 100% accuracy.,FAKE,,
European Union approves new strict regulations on the use of artificial intelligence.,REAL,,
The national currency is set to be replaced with oversized, decorative bottle caps.,FAKE,
An emergency recall is issued for a brand of children's toys due to a safety hazard.,REAL,,
The moon is actually a giant, hollow eggshell leftover from a galactic breakfast.,FAKE,
NASA confirms plan to send a crewed mission to an asteroid by the year 2030.,REAL,,
Scientists accidentally create a rain that smells exactly like old gym socks.,FAKE,,
Automaker announces a global recall of over one million vehicles due to brake failure.,REAL,,
You are asking for a total of 200 news headlines (100 FAKE and 100 REAL). Providing the next 140 items (70 FAKE and 70 REAL) will complete the request.,,,
,,,
text,label,,
A new government mandate requires all household pets to be microchipped with a mood-tracking device.,FAKE,,
Study finds a new compound that can break down plastic in seawater within 48 hours.,REAL,,
BREAKING: Scientists confirm all major volcanoes are secretly filled with lime gelatin.,FAKE,,
New trade agreement finalized between three major economic powers after months of negotiations.,REAL,,
Famous movie star quits Hollywood to become a full-time, professional competitive chess player.,FAKE,
Massive solar flare narrowly misses Earth, causing only minor disruptions to satellite communications.,REAL,
The discovery of a magical artifact grants the finder the ability to talk to traffic cones.,FAKE,,
Federal appeals court overturns a controversial lower court ruling on corporate taxation.,REAL,,
Top secret documents reveal that carrots were created by a forgotten civilization.,FAKE,,
Global health organization warns of a new, highly contagious variant of a common cold virus.,REAL,
Local city council votes to rename the main street after a popular brand of breakfast cereal.,FAKE,,
Tech CEO testifies before Congress regarding antitrust concerns and market dominance.,REAL,,
Drinking eight glasses of orange juice a day will eliminate the need for sleep entirely.,FAKE,,
Archaeologists unearth a previously unknown temple complex deep within the Amazon rainforest.,REAL,,
All public water fountains will now dispense soda instead of regular drinking water.,FAKE,,
United Nations reports a significant drop in global poverty rates over the last decade.,REAL,,
The Earth's gravity is scheduled to be temporarily turned off for a 24-hour maintenance period.,FAKE,,
Central bank launches a new digital currency pilot program to test new financial systems.,REAL,,
It is now illegal to use the word 'very' in all written and spoken communication.,FAKE,,
Scientists develop a biodegradable material that completely dissolves after one year of use.,REAL,,
World's most powerful supercomputer confirms that the number 7 is highly suspicious.,FAKE,,
Military exercises involving NATO forces conclude successfully in Eastern Europe.,REAL,,
The new official currency will be replaced by collectible holographic trading cards.,FAKE,,
New evidence suggests the universe is expanding faster than previously calculated.,REAL,,
Celebrity chef unveils a new dish that is just a forkful of air, claiming it's 'flavorful'.,FAKE,
Automaker invests heavily in hydrogen fuel cell technology for its next generation of trucks.,REAL,,
BREAKING: Clouds are actually made of solidified cotton candy, not water vapor.,FAKE,
Severe drought conditions continue to worsen across the Southwestern United States.,REAL,,
A rare astronomical event will turn the sky a bright, glittery pink for three days.,FAKE,
Energy company announces construction of the world's largest offshore wind farm.,REAL,,
It has been conclusively proven that all house cats can speak three different languages.,FAKE,,
Researchers pinpoint a gene mutation linked to increased risk of early-onset Alzheimer's.,REAL,,
The secret to turning tap water into gold is hidden in a popular children's nursery rhyme.,FAKE,,
Finance ministers from the G7 nations meet to discuss global economic stabilization efforts.,REAL,,
A major retailer has accidentally shipped its entire inventory to a remote island nation.,FAKE,,
New legislation is introduced aimed at tightening gun control laws nationwide.,REAL,,
The moon is actually a government surveillance drone disguised with a reflective coating.,FAKE,,
A landmark study on nutrition confirms the long-term benefits of a Mediterranean diet.,REAL,,
Citizens are instructed to wear tin foil hats to block new mind-control advertisements.,FAKE,,
International space station successfully completes a complex maneuver to avoid debris collision.,REAL,,
Local reservoir mysteriously emptied overnight, leaving behind a note that said 'Oops'.,FAKE,
New data confirms that coral reefs are recovering faster than expected in protected marine zones.,REAL,,
A popular soda brand is now secretly using tears of a mythical beast as a key ingredient.,FAKE,,
Major cyberattack targets and temporarily shuts down the national electric grid operator.,REAL,,
All trees in the world will spontaneously begin to grow pepperoni pizza slices at sunset.,FAKE,,
Diplomatic talks aimed at resolving the border dispute between two nations resume today.,REAL,,
New evidence proves that famous historical figure was a time-traveling alien tourist.,FAKE,,
Tech company unveils a prototype of a fully autonomous flying taxi for urban transport.,REAL,,
The use of spoons and forks is now prohibited, all food must be eaten with chopsticks.,FAKE,
The price of crude oil surges to its highest level this quarter following supply concerns.,REAL,,
A rare fish species was discovered that can sing opera in a flawless baritone voice.,FAKE,,
A powerful cyclone makes landfall, causing widespread damage and prompting mass evacuations.,REAL,
Scientists invent a teleporter, but it only works to send socks across the room.,FAKE,
Federal Aviation Administration issues new safety rules for commercial drone operations.,REAL,,
Local school district has replaced all textbooks with instructions on how to juggle.,FAKE,,
Annual report shows a decrease in unemployment rates across all major demographic groups.,REAL,,
Invisible garden gnomes are now responsible for causing all minor computer glitches.,FAKE,,
Pharmaceutical giant recalls a batch of common medication due to a labeling error.,REAL,,
The sun will be permanently replaced with a much smaller, gentler lamp on Thursday.,FAKE,
An internal audit reveals significant misuse of funds within a state government department.,REAL,,
All future movies will be 3D and will require the audience to wear giant foam antlers.,FAKE,,
NASA's James Webb Space Telescope releases stunning new images of a distant nebula.,REAL,,
Consuming burnt toast is now the only way to activate your phone's newest features.,FAKE,,
The European Central Bank announces a new package of stimulus measures for the region.,REAL,,
A highly contagious form of enthusiasm is sweeping the globe, making everyone love Mondays.,FAKE,
Massive wildfire contained after burning over fifty thousand acres in the national forest.,REAL,,
All computers will spontaneously develop a strong preference for 1980s soft rock music.,FAKE,,
Leading infectious disease expert wins the Nobel Prize in Medicine for vaccine development.,REAL,,
A new law has passed requiring all citizens to wear a rubber ducky on their head in public.,FAKE,,
International consortium publishes the first high-resolution map of the human brain's connectivity.,REAL,,
The color blue has been officially canceled and removed from all spectrums.,FAKE,,
Search and rescue teams locate the lost hiker who was missing for ten days in the wilderness.,REAL,,
It is revealed that squirrels have been secretly controlling the stock market for decades.,FAKE,,
Tech industry body warns that regulatory fragmentation could stifle innovation.,REAL,,
Local pizzeria now accepts bottle caps and earnest compliments as payment.,FAKE,,
Consumer spending slows down significantly as inflation continues to erode purchasing power.,REAL,,
The Earth is flat and is secretly being carried on the back of a giant space tortoise.,FAKE,,
Diplomats work through the night to secure the release of hostages in a political standoff.,REAL,,
Scientists have confirmed that ghosts are actually just poorly folded laundry.,FAKE,,
Major shipping route reopens after the successful salvage operation of a stranded vessel.,REAL,,
A brand new element has been discovered, and it smells like strawberries and regret.,FAKE,
World Trade Organization rules against country X in a key dispute over agricultural tariffs.,REAL,,
People who own green cars will receive a lifetime supply of free artisanal cheese.,FAKE,,
New satellite imagery confirms the dramatic melting of Arctic sea ice to a record low.,REAL,,
All clocks are now running backward by exactly five minutes to correct a cosmic error.,FAKE,,
Political party leader resigns amid a widening scandal involving campaign finance violations.,REAL,,
A newly found artifact grants wishes, but only for mild, slightly inconvenient things.,FAKE
Global financial markets react positively to the news of a successful peace treaty signing.,REAL,,
Eating sand is now being promoted as the ultimate health food by fitness gurus.,FAKE,,
Independent commission finds systemic failures in the national disaster response agency.,REAL,,
Local librarian claims to have invented a machine that can translate cat meows into poetry.,FAKE,,
Heavy snow and ice forces the closure of schools and businesses across the Northeast region.,REAL,,
The cure for writer's block is to wear a silly hat and sing karaoke for one hour.,FAKE,,
Major car manufacturer announces its plan to cease production of all internal combustion engines.,REAL,,
Archaeologists discover that the pyramids were actually a series of massive pencil sharpeners.,FAKE,,
A new UN report details the urgent need for investment in global water infrastructure.,REAL,,
Your personal thoughts are now being broadcast as tiny, faint jingles on public radio.,FAKE,
International probe into foreign election interference releases its final detailed findings.,REAL,,
The only way to recharge your phone now is by vigorously shaking a jar of pickles.,FAKE,,
Study reveals that excessive screen time is altering the sleep patterns of young adults.,REAL,,
Drones are replacing mail carriers, but they only deliver envelopes filled with confetti.,FAKE,
The Senate votes overwhelmingly to confirm the new Supreme Court Justice nominee.,REAL,,
All historical statues will be replaced with life-sized marshmallow sculptures that melt.,FAKE,,
A leading economist warns of a potential recession driven by high energy prices.,REAL,,
World leaders have agreed to switch their official language to interpretive dance.,FAKE,,
New vaccine successfully eradicates a long-standing tropical disease in a test region.,REAL,,
Local man claims he can communicate with vegetables, and they are very angry about being eaten.,FAKE,
Major breakthrough in quantum computing promises exponentially faster processing speeds.,REAL,,
A comet will hit the Earth next Tuesday, but don't worry, it's a marshmallow comet.,FAKE
Government implements emergency measures to stabilize the housing market.,REAL,,
It is discovered that time travel has always been possible, but only to next Tuesday morning.,FAKE,
A consortium of universities launches a joint project to study deep-sea hydrothermal vents.,REAL,,
The color green now grants everyone who looks at it a temporary superpower of mild levitation.,FAKE,,
A new report from the IPCC details the severe long-term impact of current climate policies.,REAL,,
All doors in the world will now open sideways with a theatrical flourish.,FAKE,,
International coalition announces a new joint mission to combat piracy in the Red Sea.,REAL,,
Scientists confirm that the only fuel a spaceship needs is pure, unadulterated hope.,FAKE,
Company settles a massive class-action lawsuit related to consumer data misuse.,REAL,,
The number 'eleven' has been exiled and replaced with the concept of 'ten-plus-one'.,FAKE,,
Financial regulator imposes heavy fines on multiple banks for money laundering violations.,REAL,,
Experts finally agree that the best way to solve any conflict is a synchronized dance routine.,FAKE,,
A medical team successfully performs the first full-face transplant surgery in the country.,REAL,,
All rain will taste exactly like blueberry pancakes starting at midnight tonight.,FAKE,,
The World Bank approves billions in funding for developing nations' education programs.,REAL,,
The ocean is secretly full of singing teapots who are very lonely.,FAKE,,
Election officials confirm a record-breaking turnout in the recent general election.,REAL,,
New evidence proves that the only way to catch a mouse is by baiting the trap with a tiny violin.,FAKE,,
A federal judge blocks the merger of two major telecommunications companies.,REAL,,
The secret ingredient in all fast-food burgers is revealed to be high-fives.,FAKE,,
Research indicates a significant link between air pollution and cognitive decline.,REAL,,
All public transportation vehicles will now be powered by the rhythmic clicking of castanets.,FAKE,,
A humanitarian convoy successfully delivers emergency aid to a conflict-affected zone.,REAL,,
You requested 100 more items, providing 50 FAKE and 50 REAL news headlines to bring the total to 300 entries.,,
A groundbreaking new law makes it mandatory to apologize to inanimate objects after bumping into them.,FAKE,,
Biologists announce the successful cloning of an extinct species of giant tortoise.,REAL,,
BREAKING: Scientists have determined that gravity is actually caused by tiny, invisible magnets.,FAKE,
World Bank projects a slower but steady growth for the global economy next fiscal year.,REAL,,
Local man achieves lifelong dream of flying by simply flapping his arms vigorously.,FAKE,,
The UN designates a new international day to raise awareness about ocean acidification.,REAL,,
It is revealed that the Bermuda Triangle is actually a portal to a dimension made of socks.,FAKE,,
U.S. inflation rate eases slightly, providing relief for consumers and investors.,REAL,
New study proves that consuming glitter enhances your ability to predict the weather.,FAKE,,
Cybersecurity experts warn of a critical vulnerability found in a widely used operating system.,REAL,,
The world's largest rubber chicken was accidentally launched into space this morning.,FAKE,,
The U.S. government releases its annual report detailing the nation's energy consumption trends.,REAL,,
Eating pizza before bed is the key to unlocking hidden psychic abilities.,FAKE,,
A rare manuscript detailing a secret medieval recipe is discovered in a monastery.,REAL,,
The CEO of a major tech company was found living in a treehouse and eating bark.,FAKE,,
International Monetary Fund approves a multi-billion dollar loan package for a struggling nation.,REAL,,
A government experiment is secretly using pigeons to send classified email messages.,FAKE,,
Astrophysicists detect the signature of a new element forming inside a distant supernova.,REAL,,
A new virus is turning people's skin neon colors, but only when they are happy.,FAKE,
Stock exchange implements a pause in trading following a surge in volatility.,REAL,,
Ancient aliens built Stonehenge as a complicated, oversized bird feeder.,FAKE,
Engineers successfully test a new carbon capture technology capable of mass CO2 removal.,REAL,,
BREAKING: Drinking tap water is now considered an extreme sport with high fatality rates.,FAKE,,
Local government passes a resolution to increase funding for public transportation repairs.,REAL,,
All pets will be issued tiny, mandatory bow ties that play jaunty sea shanties.,FAKE,
Major film studio announces the production of two new sequels to its blockbuster franchise.,REAL,,
A mysterious cloud of purple smoke has granted temporary superpowers to everyone in the Midwest.,FAKE,,
Health officials confirm a rise in cases of a foodborne illness linked to imported produce.,REAL,,
Archaeologists discover that the lost city of Atlantis was actually a large shopping mall.,FAKE,,
European Union leaders reach an agreement on a joint strategy for digital market regulation.,REAL,,
A new scientific paper proves that smiling makes you rich, instantly and without effort.,FAKE,
The Pentagon confirms the downing of an unmanned foreign surveillance drone in international airspace.,REAL,,
Citizens are advised to only communicate through interpretative dance due to a language shortage.,FAKE,,
Global software company announces a massive restructuring plan that includes significant layoffs.,REAL,,
Eating cereal backwards is the newly discovered secret to living to 150.,FAKE,,
Researchers successfully engineer yeast to produce a substitute for palm oil, reducing deforestation.,REAL,
Every car in the country must now be decorated with a bright, inflatable unicorn horn.,FAKE,
Heavy fighting erupts in the capital city as a military coup attempt is launched overnight.,REAL,,
The secret ingredient in all famous perfumes is the highly concentrated essence of failure.,FAKE,,
Electric vehicle sales hit a new quarterly record, boosting confidence in the green energy transition.,REAL,
A massive, sentient potato has declared itself the new ruler of a small island nation.,FAKE,
Astronauts aboard the ISS complete a critical spacewalk to repair a cooling system leak.,REAL,,
The government will give everyone a free puppy, but it must be named 'Chairman Fluff'.,FAKE,
New experimental therapy shows promise in regenerating damaged spinal cord tissue.,REAL,,
Local coffee shop begins accepting belly button lint as a form of payment.,FAKE,,
U.S. and China agree to hold high-level talks aimed at reducing trade tensions.,REAL,,
Experts discover that the key to happiness is yelling loudly at a patch of clover.,FAKE,,
Mining accident in South America traps dozens of workers underground, rescue efforts underway.,REAL,
It is now mandatory to wear socks on your hands when answering the telephone.,FAKE,,
The Centers for Disease Control and Prevention issues a travel advisory for a disease hotspot.,REAL,,
All smartphones are secretly plotting to replace human thumbs with tiny lobsters.,FAKE,,
Federal agency announces a new initiative to fund renewable energy projects in rural areas.,REAL,,
Your shoes are listening to your conversations and judging your life choices.,FAKE,,
A multi-national corporation faces a backlash after a major environmental pollution incident.,REAL,,
The inventor of the wheel steps forward and admits the whole thing was a terrible mistake.,FAKE,,
A new scientific paper overturns a century-old theory in the field of quantum physics.,REAL,,
The president's new policy states that all official meetings must be held on trampolines.,FAKE,,
Regulators approve a new rapid-testing kit for a common infectious disease.,REAL,,
New research suggests that a diet of only cookies gives you X-ray vision, briefly.,FAKE,
Tensions rise between two neighboring countries after border skirmishes escalate.,REAL,,
All public clocks now display the time in a highly confusing, avant-garde manner.,FAKE,
The world's largest particle collider records an anomaly that baffles physicists.,REAL,,
Local town declares war on the ocean after a seagull stole a man's sandwich.,FAKE,,
Financial sector report indicates a sharp increase in venture capital funding for AI startups.,REAL,,
The secret to faster internet speed is to whisper sweet secrets to your modem.,FAKE,,
A UN special envoy is dispatched to mediate a long-standing political crisis.,REAL,,
It is discovered that clouds are not made of water, but rather extremely fluffy marshmallows.,FAKE,
Oil prices fall to a six-month low amidst fears of a global economic slowdown.,REAL,,
A time-traveling tourist from the year 3025 accidentally left his future flip-flops behind.,FAKE,,
Health authorities successfully contain the spread of a dangerous, newly emerged pathogen.,REAL,
A new fashion trend requires wearing giant, inflatable sumo suits to all formal events.,FAKE,
A severe winter storm sweeps across the continent, disrupting travel and utility services.,REAL,
All streetlights will begin shouting compliments at pedestrians as they walk past.,FAKE,,
Scientists publish a detailed genetic map of a key agricultural food crop.,REAL,,
Eating chalk is the most effective way to improve your singing voice, study claims.,FAKE,
The CEO of a major automotive company suddenly resigns without providing a public reason.,REAL,,
The national anthem has been replaced with a three-hour interpretive tuba solo.,FAKE,,
Independent auditors uncover a $100 million accounting fraud at a large corporation.,REAL,,
A new rule states that all official documents must be signed with a banana.,FAKE,,
Environmental activists file a lawsuit against the government over relaxed emission standards.,REAL,,
Your neighbor's dog is actually a highly trained secret agent working for a foreign power.,FAKE,,
A new political party gains unexpected momentum ahead of the upcoming parliamentary elections.,REAL,,
All historical monuments are scheduled to be repainted entirely in fluorescent yellow.,FAKE,,
The International Court of Justice issues a ruling on a long-running territorial dispute.,REAL,,
Scientists discover a tiny, magical flute that can summon rain, but only for three minutes.,FAKE
Major fire breaks out at an industrial plant, causing mass evacuations in the surrounding area.,REAL,
It is a universal truth that all pigeons are named Kevin, regardless of gender.,FAKE,
Tech giant acquires a small, specialized robotics company for over one billion dollars.,REAL,
A new dance craze requires participants to imitate the waddle of a startled penguin.,FAKE,,
New deep-sea expedition discovers a hydrothermal vent ecosystem previously unknown to science.,REAL,,
BREAKING: Everyone's left shoe has declared independence from its right counterpart.,FAKE,,
Federal investigation launched into allegations of widespread corruption within local police force.,REAL,,
All houses will be required to wear festive, oversized sombreros for the month of July.,FAKE,
Report shows that rising sea levels are threatening infrastructure in coastal metropolitan areas.,REAL,,
A popular breakfast toast is actually the petrified remains of an ancient, grumpy ghost.,FAKE,
Central Bank unexpectedly raises its benchmark interest rate to curb persistent inflation.,REAL,,
New law bans all square-shaped objects, forcing a frantic global redesign effort.,FAKE,
Diplomatic efforts result in a prisoner exchange between hostile nations after months of negotiation.,REAL,,
The atmosphere will be briefly replaced by a dense layer of mildly sticky honey.,FAKE,,
Scientists confirm the existence of a massive, dark matter filament connecting distant galaxy clusters.,REAL,
All world leaders simultaneously quit their jobs to join a traveling circus.,FAKE,,
A military aircraft crashes during a routine training exercise, cause under immediate investigation.,REAL,
Ganesh is a boy.,REAL,,
Narendra Modi is a Prime Minister of India.,REAL,,
Sagar Institute college is a good college.,FAKE,,
NDA forms government in Bihar after securing clear majority in 2025 polls,REAL,,
EC orders repolling in 25 Bihar booths after reports of ballot tampering,REAL,,
RJD claims it won the election but results were ‘hacked by AI tools’,FAKE,,
Bihar records highest female voter turnout in two decades,REAL,,
Tejashwi Yadav announces statewide protests alleging EVM malfunction,REAL,,
Bihar CM declares free internet for all households starting January,FAKE,,
Voters in Patna report receiving deepfake campaign calls before polling day,REAL,,
BJP introduces youth‑employment guarantee scheme in Bihar manifesto,REAL,,
A viral video falsely shows Nitish Kumar endorsing a rival party,REAL,,
Election Commission arrests candidate using cryptocurrency for vote buying,FAKE,,
Record 120 first‑time candidates contest in Bihar elections,REAL,,
Patna airport shut down for VIP arrivals during voting week,FAKE,,
Bihar police seize ₹50 crore unaccounted cash linked to election funding,REAL,,
Polling in Gaya extended by two hours due to technical snags,REAL,,
Bihar government to provide electric tractors to farmers after election win,FAKE,,
RJD forms committee to investigate internal reasons behind seat losses,REAL,,
"NDA’s campaign rally in Muzaffarpur attracts over 200,000 supporters",FAKE,,
Election observers flag rising use of bots in Bihar political campaigns,REAL,,
Bihar introduces AI‑driven voter identity verification at select booths,FAKE,,
Congress promises reopening of closed sugar mills in north Bihar,REAL,,
Fake exit poll claims RJD sweeping 200 seats circulates on WhatsApp,REAL,,
Bihar to implement mandatory political‑ad watermarking rules,FAKE,,
Independent candidate wins in Bhagalpur with record margin,FAKE,,
Turnout in youth-dominated districts surpasses state average,REAL,,
Patna sees highest number of NOTA votes in state,REAL,,
Rumors about Election Day curfew in Bihar debunked by police,REAL,,
Political parties exchange accusations over AI‑generated fake speeches,REAL,,
Bihar CM resigns citing health reasons immediately after election results,FAKE,,
EC confirms no large‑scale irregularities in Bihar polling,REAL,,
RJD manifesto includes proposal for universal basic income in Bihar,FAKE,,
Police foil plot to disrupt counting center power supply,FAKE,,
Bihar farmers’ unions endorse multi‑party alliance for the first time,REAL,,
NDA allocates special package for flood‑prone districts post-election,REAL,,
Bihar’s 2025 polls witness highest social‑media ad spending ever,REAL,,
Ex‑MLA arrested for spreading fake news about booth captures,REAL,,
"Counting center in Arrah faces one‑hour blackout, sparks controversy",REAL,,
Bihar to introduce compulsory voting from next election cycle,FAKE,,
RJD youth wing launches investigation into fake donation scams,REAL,,
Viral photo claims ballot boxes stored in private godown, turns out staged,REAL,
PM addresses virtual rally in Bihar using 3D projection technology,REAL,,
Bihar parties sign agreement for clean campaigning—no personal attacks,FAKE,,
Students offered free laptops for attending political rallies,FAKE,,
Tejashwi Yadav trends globally on social media after concession speech,REAL,,
Bihar EC pilot-tests reusable e-ballots in select wards,FAKE,,
Flood-hit voters transported to polling stations in government boats,REAL,,
Cyber cell investigates fake poll surveys run from abroad,REAL,,
NDA claims victory after completing largest door‑to‑door campaign in Bihar history,REAL,,
RJD proposes building India’s first underground metro line in Patna,FAKE,,
Multiple candidates disqualified for failing to disclose social‑media accounts,REAL,,
Bihar’s oldest active voter (118 years old) casts vote again,FAKE,,
